Rk,Unnamed: 1,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Domantas Sabonis,24,62,2231,20.6,0.601,0.179,0.363,7.3,28.6,18.0,27.5,1.6,1.2,16.9,24.1,,4.0,3.0,6.9,0.149,,2.4,1.5,3.9,3.3
2,Justin Holiday,31,72,2183,10.4,0.5710000000000001,0.725,0.136,1.6,11.1,6.4,7.0,1.6,1.5,7.5,14.0,,1.4,1.8,3.1,0.069,,-0.7,-0.4,-1.1,0.5
3,Malcolm Brogdon,28,56,1930,17.9,0.561,0.382,0.18100000000000002,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,,2.9,1.3,4.2,0.105,,2.9,-1.4,1.5,1.7
4,T.J. McConnell,28,69,1796,16.9,0.583,0.098,0.098,3.3,12.1,7.7,34.3,3.4,1.0,20.9,15.3,,2.6,2.2,4.8,0.128,,-0.1,1.6,1.5,1.6
5,Doug McDermott,29,66,1619,15.6,0.635,0.43,0.147,4.0,10.7,7.4,7.8,0.6,0.3,7.0,20.0,,3.1,0.7,3.8,0.11199999999999999,,1.5,-2.1,-0.5,0.6
6,Myles Turner,24,47,1455,15.3,0.599,0.47700000000000004,0.32899999999999996,4.7,18.0,11.4,4.4,1.3,8.8,11.9,16.4,,1.1,2.2,3.3,0.11,,-1.3,1.7,0.4,0.9
7,Aaron Holiday,24,66,1176,9.2,0.503,0.41700000000000004,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,,-0.6,0.8,0.2,0.009000000000000001,,-3.2,-1.0,-4.1,-0.6
8,Caris LeVert,26,35,1152,17.4,0.535,0.318,0.23800000000000002,2.2,13.0,7.6,22.9,2.2,1.7,10.1,27.9,,0.6,1.2,1.8,0.075,,0.0,-0.3,-0.3,0.5
9,Edmond Sumner,25,53,861,12.7,0.626,0.312,0.294,2.3,9.5,5.9,7.9,1.8,0.9,13.8,18.3,,0.7,0.7,1.4,0.077,,-2.3,-0.6,-2.9,-0.2
10,Jeremy Lamb,28,36,765,15.8,0.5870000000000001,0.46399999999999997,0.272,3.6,14.9,9.3,9.4,2.1,2.4,6.6,18.4,,1.2,0.9,2.1,0.132,,0.9,0.4,1.3,0.6
11,Goga Bitadze,21,45,561,16.3,0.523,0.40700000000000003,0.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,,0.7,0.8,1.5,0.129,,-1.9,0.8,-1.2,0.1
12,Oshae Brissett,22,21,519,17.2,0.638,0.517,0.43,6.1,17.9,12.0,4.6,1.7,3.1,5.3,15.6,,1.2,0.6,1.8,0.165,,0.9,-0.6,0.4,0.3
13,Kelan Martin,25,35,322,13.9,0.551,0.435,0.07200000000000001,6.1,20.1,13.1,7.5,1.5,2.5,10.1,20.9,,0.1,0.4,0.4,0.066,,-1.2,-1.0,-2.3,0.0
14,JaKarr Sampson,27,29,316,10.9,0.5329999999999999,0.133,0.257,9.3,17.1,13.2,1.8,0.3,3.6,10.7,19.0,,0.0,0.3,0.3,0.044000000000000004,,-5.1,-2.3,-7.4,-0.4
15,Victor Oladipo,28,9,300,15.5,0.535,0.45399999999999996,0.243,0.4,18.0,9.2,18.7,2.4,0.5,9.7,26.4,,0.0,0.3,0.4,0.063,,1.5,-0.8,0.6,0.2
16,T.J. Warren,27,4,117,11.6,0.56,0.13699999999999998,0.196,1.9,11.1,6.5,6.5,0.8,0.0,6.7,21.6,,0.1,0.1,0.1,0.045,,-3.0,-2.5,-5.5,-0.1
17,Cassius Stanley,21,24,93,5.5,0.38299999999999995,0.302,0.209,9.4,13.9,11.7,1.4,0.5,1.7,2.1,22.0,,-0.2,0.1,-0.1,-0.05,,-7.0,-4.2,-11.2,-0.2
18,Amida Brimah,26,5,29,16.6,0.6970000000000001,0.0,0.375,7.5,22.3,15.0,4.8,0.0,14.0,30.0,19.6,,0.0,0.1,0.0,0.073,,-5.5,1.5,-4.0,0.0
19,Brian Bowen,22,6,15,1.0,0.33799999999999997,0.25,0.25,0.0,21.6,10.8,0.0,0.0,0.0,0.0,12.6,,0.0,0.0,0.0,-0.063,,-8.2,-3.3,-11.5,0.0
20,Jalen Lecque,20,4,12,4.7,0.242,0.111,0.33299999999999996,18.2,27.0,22.6,20.6,0.0,0.0,0.0,36.6,,-0.1,0.0,-0.1,-0.23199999999999998,,-6.3,-6.8,-13.1,0.0
